rule_id,rule_set,description,smarts,rule_set_name,priority,mincount,source,catalog_description
31,1,I1 Aliphatic methylene chains 7 or more long,[CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0],GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
32,1,I2 Compounds with 4 or more acidic groups,"[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH]",GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
33,1,I3 Crown ethers,[O;R1][C;R1][C;R1][O;R1][C;R1][C;R1][O;R1],GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
34,1,I4 Disulphides,SS,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
35,1,I5 Thiols,[SH],GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
36,1,"I6 Epoxides, Thioepoxides, Aziridines","C1[O,S,N]C1",GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
37,1,"I7 2,4,5 trihydroxyphenyl",c([OH])c([OH])c([OH]),GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
38,1,"I8 2,3,4 trihydroxyphenyl",c([OH])c([OH])cc([OH]),GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
39,1,I9 Hydrazothiourea,N=NC(=S)N,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
40,1,I10 Thiocyanate,SC#N,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
41,1,I11 Benzylic quaternary Nitrogen,cC[N+],GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
42,1,I12 Thioesters,"C[O,S;R0][C;R0](=S)",GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
43,1,I13 Cyanamides,N[CH2]C#N,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
44,1,I14 Four membered lactones,C1(=O)OCC1,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
45,1,I15 Di and Triphosphates,P(=O)([OH])OP(=O)[OH],GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
46,1,I16 Betalactams,N1CCC1=O,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
47,1,N1 Quinones,O=C1[#6]~[#6]C(=O)[#6]~[#6]1,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
48,1,N2 Polyenes,C=CC=CC=CC=C,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
49,1,N3 Saponin derivatives,O1CCCCC1OC2CCC3CCCCC3C2,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
50,1,N4 Cytochalasin derivatives,O=C1NCC2CCCCC21,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
51,1,N5 Cycloheximide derivatives,O=C1CCCC(N1)=O,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
52,1,N6 Monensin derivatives,O1CCCCC1C2CCCO2,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
53,1,N7 Cyanidin derivatives,[OH]c1cc([OH])cc2=[O+]C(=C([OH])Cc21)c3cc([OH])c([OH])cc3,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
54,1,N8 Squalestatin derivatives,C12OCCC(O1)CC2,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
55,2,> 2 ester groups,"C(=O)O[C,H1].C(=O)O[C,H1].C(=O)O[C,H1]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
56,2,2-halo pyridine,"n1c([F,Cl,Br,I])cccc1",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
57,2,acid halide,"C(=O)[Cl,Br,I,F]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
58,2,acyclic C=C-O,C=[C!r]O,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
59,2,acyl cyanide,N#CC(=O),Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
60,2,acyl hydrazine,C(=O)N[NH2],Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
61,2,aldehyde,[CH1](=O),Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
62,2,Aliphatic long chain,[R0;D2][R0;D2][R0;D2][R0;D2],Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
63,2,alkyl halide,"[CX4][Cl,Br,I]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
64,2,amidotetrazole,c1nnnn1C=O,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
65,2,aniline,c1cc([NH2])ccc1,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
66,2,azepane,[CH2R2]1N[CH2R2][CH2R2][CH2R2][CH2R2][CH2R2]1,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
67,2,Azido group,N=[N+]=[N-],Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
68,2,Azo group,N#N,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
69,2,azocane,[CH2R2]1N[CH2R2][CH2R2][CH2R2][CH2R2][CH2R2][CH2R2]1,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
70,2,benzidine,"[cR2]1[cR2][cR2]([Nv3X3,Nv4X4])[cR2][cR2][cR2]1[cR2]2[cR2][cR2][cR2]([Nv3X3,Nv4X4])[cR2][cR2]2",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
71,2,beta-keto/anhydride,"[C,c](=O)[CX4,CR0X3,O][C,c](=O)",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
72,2,biotin analogue,C12C(NC(N1)=O)CSC2,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
73,2,Carbocation/anion,"[C+,c+,C-,c-]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
74,2,catechol,"c1c([OH])c([OH,NH2,NH])ccc1",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
75,2,charged oxygen or sulfur atoms,"[O+,o+,S+,s+]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
76,2,chinone,"C1(=[O,N])C=CC(=[O,N])C=C1",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
77,2,chinone,"C1(=[O,N])C(=[O,N])C=CC=C1",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
78,2,conjugated nitrile group,C=[C!r]C#N,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
79,2,crown ether,"[OR2,NR2]@[CR2]@[CR2]@[OR2,NR2]@[CR2]@[CR2]@[OR2,NR2]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
80,2,cumarine,c1ccc2c(c1)ccc(=O)o2,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
81,2,cyanamide,N[CH2]C#N,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
82,2,cyanate/aminonitrile/thiocyanate,"[N,O,S]C#N",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
83,2,cyanohydrins,N#CC[OH],Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
84,2,cycloheptane,[CR2]1[CR2][CR2][CR2][CR2][CR2][CR2]1,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
85,2,cycloheptane,[CR2]1[CR2][CR2]cc[CR2][CR2]1,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
86,2,cyclooctane,[CR2]1[CR2][CR2][CR2][CR2][CR2][CR2][CR2]1,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
87,2,cyclooctane,[CR2]1[CR2][CR2]cc[CR2][CR2][CR2]1,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
88,2,diaminobenzene,"[cR2]1[cR2]c([N+0X3R0,nX3R0])c([N+0X3R0,nX3R0])[cR2][cR2]1",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
89,2,diaminobenzene,"[cR2]1[cR2]c([N+0X3R0,nX3R0])[cR2]c([N+0X3R0,nX3R0])[cR2]1",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
90,2,diaminobenzene,"[cR2]1[cR2]c([N+0X3R0,nX3R0])[cR2][cR2]c1([N+0X3R0,nX3R0])",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
91,2,diazo group,[N!R]=[N!R],Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
92,2,diketo group,"[C,c](=O)[C,c](=O)",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
93,2,disulphide,SS,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
94,2,enamine,[CX2R0][NX3R0],Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
95,2,ester of HOBT,C(=O)Onnn,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
96,2,four member lactones,C1(=O)OCC1,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
97,2,halogenated ring,"c1cc([Cl,Br,I,F])cc([Cl,Br,I,F])c1[Cl,Br,I,F]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
98,2,halogenated ring,"c1ccc([Cl,Br,I,F])c([Cl,Br,I,F])c1[Cl,Br,I,F]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
99,2,heavy metal,"[Hg,Fe,As,Sb,Zn,Se,se,Te,B,Si]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
100,2,het-C-het not in ring,"[NX3R0,NX4R0,OR0,SX2R0][CX4][NX3R0,NX4R0,OR0,SX2R0]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
101,2,hydantoin,C1NC(=O)NC(=O)1,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
102,2,hydrazine,N[NH2],Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
103,2,hydroquinone,"[OH]c1ccc([OH,NH2,NH])cc1",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
104,2,hydroxamic acid,C(=O)N[OH],Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
105,2,imine,C=[N!R],Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
106,2,imine,"N=[CR0][N,n,O,S]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
107,2,iodine,I,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
108,2,isocyanate,N=C=O,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
109,2,isolated alkene,"[$([CH2]),$([CH][CX4]),$(C([CX4])[CX4])]=[$([CH2]),$([CH][CX4]),$(C([CX4])[CX4])]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
110,2,ketene,C=C=O,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
111,2,"methylidene-1,3-dithiole",S1C=CSC1=S,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
112,2,Michael acceptor,"C=!@CC=[O,S]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
113,2,Michael acceptor,"[$([CH]),$(CC)]#CC(=O)[C,c]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
114,2,Michael acceptor,"[$([CH]),$(CC)]#CS(=O)(=O)[C,c]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
115,2,Michael acceptor,C=C(C=O)C=O,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
116,2,Michael acceptor,"[$([CH]),$(CC)]#CC(=O)O[C,c]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
117,2,N oxide,"[NX2,nX3][OX1]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
118,2,"N-acyl-2-amino-5-mercapto-1,3,4-thiadiazole",s1c(S)nnc1NC=O,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
119,2,N-C-halo,"NC[F,Cl,Br,I]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
120,2,N-halo,"[NX3,NX4][F,Cl,Br,I]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
121,2,N-hydroxyl pyridine,n[OH],Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
122,2,nitro group,[N+](=O)[O-],Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
123,2,N-nitroso,[#7]-N=O,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
124,2,oxime,"[C,c]=N[OH]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
125,2,oxime,"[C,c]=NOC=O",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
126,2,Oxygen-nitrogen single bond,"[OR0,NR0][OR0,NR0]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
127,2,perfluorinated chain,[CX4](F)(F)[CX4](F)F,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
128,2,peroxide,OO,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
129,2,phenol ester,c1ccccc1OC(=O)[#6],Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
130,2,phenyl carbonate,c1ccccc1OC(=O)O,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
131,2,phosphor,P,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
132,2,phthalimide,"[cR,CR]~C(=O)NC(=O)~[cR,CR]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
133,2,Polycyclic aromatic hydrocarbon,a1aa2a3a(a1)A=AA=A3=AA=A2,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
134,2,Polycyclic aromatic hydrocarbon,a21aa3a(aa1aaaa2)aaaa3,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
135,2,Polycyclic aromatic hydrocarbon,a31a(a2a(aa1)aaaa2)aaaa3,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
136,2,polyene,[CR0]=[CR0][CR0]=[CR0],Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
137,2,quaternary nitrogen,"[s,S,c,C,n,N,o,O]~[nX3+,NX3+](~[s,S,c,C,n,N])~[s,S,c,C,n,N]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
138,2,quaternary nitrogen,"[s,S,c,C,n,N,o,O]~[n+,N+](~[s,S,c,C,n,N,o,O])(~[s,S,c,C,n,N,o,O])~[s,S,c,C,n,N,o,O]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
139,2,quaternary nitrogen,[*]=[N+]=[*],Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
140,2,saponine derivative,O1CCCCC1OC2CCC3CCCCC3C2,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
141,2,silicon halogen,"[Si][F,Cl,Br,I]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
142,2,stilbene,c1ccccc1C=Cc2ccccc2,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
143,2,sulfinic acid,"[SX3](=O)[O-,OH]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
144,2,Sulfonic acid,"[C,c]S(=O)(=O)O[C,c]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
145,2,Sulfonic acid,"S(=O)(=O)[O-,OH]",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
146,2,sulfonyl cyanide,S(=O)(=O)C#N,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
147,2,sulfur oxygen single bond,[SX2]O,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
148,2,sulphate,OS(=O)(=O)[O-],Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
149,2,Sulphur-nitrogen single bond,[SX2H0][N],Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
150,2,Thiobenzothiazole,c12ccccc1(SC(S)=N2),Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
151,2,thiobenzothiazole,c12ccccc1(SC(=S)N2),Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
152,2,Thiocarbonyl group,"[C,c]=S",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
153,2,thioester,SC=O,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
154,2,thiol,[S-],Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
155,2,thiol,[SH],Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
156,2,Three-membered heterocycle,"*1[O,S,N]*1",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
157,2,triflate,OS(=O)(=O)C(F)(F)F,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
158,2,triphenyl methylsilyl,"[SiR0,CR0](c1ccccc1)(c2ccccc2)(c3ccccc3)",Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
159,2,triple bond,C#C,Dundee,4,1,ChEMBL,University of Dundee NTD Screening Library Filters
160,3,2halo_pyrazine_3EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#7][#6][#6]1",BMS,7,1,ChEMBL,Bristol-Myers Squibb HTS Deck filters
161,3,2halo_pyrazine_5EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#6;!$(c-N)][#7][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6;!$(c-N)]1",BMS,7,1,ChEMBL,Bristol-Myers Squibb HTS Deck filters
162,3,2halo_pyridazine_3EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6][#6][#7]1",BMS,7,1,ChEMBL,Bristol-Myers Squibb HTS Deck filters
163,3,2halo_pyridazine_5EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#6][#6][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#7]1",BMS,7,1,ChEMBL,Bristol-Myers Squibb HTS Deck filters
164,3,2halo_pyridine_3EWG,"[#7;R1]1[#6;!$(c=O)]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6;!$(c-N)][#6][#6;!$(c-N)]1",BMS,7,1,ChEMBL,Bristol-Myers Squibb HTS Deck filters
165,3,2halo_pyridine_5EWG,"[#7;R1]1[#6;!$(c=O)]([F,Cl,Br,I])[#6][#6;!$(c-N)][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6;!$(c=O);!$(c-N)]1",BMS,7,1,ChEMBL,Bristol-Myers Squibb HTS Deck filters
166,3,2halo_pyrimidine_5EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#7][#6][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]1",BMS,7,1,ChEMBL,Bristol-Myers Squibb HTS Deck filters
167,3,3halo_pyridazine_2EWG,"[#7;R1]1[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]([F,Cl,Br,I])[#6][#6][#7]1",BMS,7,1,ChEMBL,Bristol-Myers Squibb HTS Deck filters
168,3,3halo_pyridazine_4EWG,"[#7;R1]1[#6][#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6][#7]1",BMS,7,1,ChEMBL,Bristol-Myers Squibb HTS Deck filters
169,3,4_pyridone_3_5_EWG,"[#7,#8,#16]1~[#6;H]~[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])~[#6](=O)~[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])~[#6;H]1",BMS,7,1,ChEMBL,Bristol-Myers Squibb HTS Deck filters
170,3,4halo_pyridine_3EWG,"[#7;R1]1[#6;!$(c=O);!$(c-N)][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]([F,Cl,Br,I])[#6][#6;!$(c=O);!$(c-N)]1",BMS,7,1,ChEMBL,Bristol-Myers Squibb HTS Deck filters
171,3,4halo_pyrimidine_2_6EWG,"[#7]1[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#7;R1][#6]([F,Cl,Br,I])[#6][#6]1([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])",BMS,7,1,ChEMBL,Bristol-Myers Squibb HTS Deck filters
172,3,4halo_pyrimidine_5EWG,"[#7]1[#6][#7;R1][#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]1",BMS,7,1,ChEMBL,Bristol-Myers Squibb HTS Deck filters
173,3,CH2_S#O_3_ring,"[CH2]1[O,S]C1",BMS,7,1,ChEMBL,Bristol-Myers Squibb HTS Deck filters
174,3,HOBT_ester,"O=C(-[!N])O[$(nnn),$([#7]-[#7]=[#7])]",BMS,7,1,ChEMBL,Bristol-Myers Squibb HTS Deck filters
175,3,NO_phosphonate,P(=O)ON,BMS,7,1,ChEMBL,Bristol-Myers Squibb HTS Deck filters
176,3,acrylate,[CH2]=[C;!$(C-N);!$(C-O)]C(=O),BMS,7,1,ChEMBL,Bristol-Myers Squibb HTS Deck filters
177,3,activated_4mem_ring,"[#6]1~[$(C(=O)),$(S(=O))]~[O,S,N]~[$(C(=O)),$(S(=O))]1",BMS,7,1,ChEMBL,Bristol-Myers Squibb HTS Deck filters
178,3,activated_S#O_3_ring,"C1~[O,S]~[C,N,O,S]1[a,N,O,S]",BMS,7,1,ChEMBL,Bristol-Myers Squibb HTS Deck filters
179,3,activated_acetylene,"[$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))]C#[C;!$(C-N);!$(C-n)]",BMS,7,1,ChEMBL,Bristol-Myers Squibb HTS Deck filters
180,3,activated_diazo,"[N;!R]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])=[N;!R]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])",BMS,7,1,ChEMBL,Bristol-Myers Squibb HTS Deck filters
181,3,activated_vinyl_ester,"O=COC=[$(C(S(=O)(=O))),$(C(C(F)(F)(F))),$(C(C#N)),$(C(N(=O)(=O))),$(C([N+](=O)[O-])),$(C(C(=O)));!$(C(N))]",BMS,7,1,ChEMBL,Bristol-Myers Squibb HTS Deck filters
