name,smiles,smarts,group,hierarchy
perfluorotetradecanoic acid,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,[#6](=[#8])(-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])-[#8],emerging_perfluoroalkyls,environment.emerging_perfluoroalkyls.emerging_perfluoroalkyls
perfluorotridecanoic acid,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,[#6](=[#8])(-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])-[#8],emerging_perfluoroalkyls,environment.emerging_perfluoroalkyls.emerging_perfluoroalkyls
"4,8-dioxa-3H-perfluorononanoic",C(C(C(=O)O)(F)F)(OC(C(C(OC(F)(F)F)(F)F)(F)F)(F)F)F,[#6](-[#6](-[#6](=[#8])-[#8])(-[#9])-[#9])(-[#8]-[#6](-[#6](-[#6](-[#8]-[#6](-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])-[#9],emerging_perfluoroalkyls,environment.emerging_perfluoroalkyls.emerging_perfluoroalkyls
6:2 chlorinated polyfluorinated ether sulfonic acid,FC(Cl)(C(F)(C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(S(=O)(O[K])=O)F)F)F,[#9]-[#6](-[#17])(-[#6](-[#9])(-[#6](-[#9])(-[#9])-[#6](-[#9])(-[#9])-[#6](-[#9])(-[#9])-[#8]-[#6](-[#9])(-[#9])-[#6](-[#9])(-[#16](=[#8])(-[#8]-[K])=[#8])-[#9])-[#9])-[#9],emerging_perfluoroalkyls,environment.emerging_perfluoroalkyls.emerging_perfluoroalkyls
perfluorobutanoic acid,FC(F)(C(F)(C(O)=O)F)C(F)(F)F,[#9]-[#6](-[#9])(-[#6](-[#9])(-[#6](-[#8])=[#8])-[#9])-[#6](-[#9])(-[#9])-[#9],emerging_perfluoroalkyls,environment.emerging_perfluoroalkyls.emerging_perfluoroalkyls
perfluoro-n-pentanoic acid,C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O,[#6](=[#8])(-[#6](-[#6](-[#6](-[#6](-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])-[#8],emerging_perfluoroalkyls,environment.emerging_perfluoroalkyls.emerging_perfluoroalkyls
nafion byproduct 2,C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(F)(F)S(=O)(=O)O)(F)F)F)(F)F)F,[#6](-[#6](-[#9])(-[#9])-[#9])(-[#8]-[#6](-[#6](-[#6](-[#9])(-[#9])-[#9])(-[#8]-[#6](-[#6](-[#9])(-[#9])-[#16](=[#8])(=[#8])-[#8])(-[#9])-[#9])-[#9])(-[#9])-[#9])-[#9],emerging_perfluoroalkyls,environment.emerging_perfluoroalkyls.emerging_perfluoroalkyls
"perfluoro-3,5,7,9-tetraoxadecanoic acid",C(=O)(C(OC(OC(OC(OC(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,[#6](=[#8])(-[#6](-[#8]-[#6](-[#8]-[#6](-[#8]-[#6](-[#8]-[#6](-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])-[#8],emerging_perfluoroalkyls,environment.emerging_perfluoroalkyls.emerging_perfluoroalkyls
"perfluoro-3,5,7,9,11-pentaoxadodecanoic acid",C(=O)(C(OC(OC(OC(OC(OC(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,[#6](=[#8])(-[#6](-[#8]-[#6](-[#8]-[#6](-[#8]-[#6](-[#8]-[#6](-[#8]-[#6](-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])-[#8],emerging_perfluoroalkyls,environment.emerging_perfluoroalkyls.emerging_perfluoroalkyls
"2,2,3,3-tetrafluoro-3-((1,1,1,2,3,3-hexafluoro-3-(1,2,2,2-tetrafluoroethoxy)propan-2-yl)oxy)propanoic acid",C(=O)(C(C(F)(F)F)(OC(C(OC(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)F)F)O,[#6](=[#8])(-[#6](-[#6](-[#9])(-[#9])-[#9])(-[#8]-[#6](-[#6](-[#8]-[#6](-[#6](-[#6](-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#6](-[#9])(-[#9])-[#9])-[#9])-[#9])-[#8],emerging_perfluoroalkyls,environment.emerging_perfluoroalkyls.emerging_perfluoroalkyls
"h,1h,2h,2h-perfluorooctanesulfonic acid",C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,[#6](-[#6](-[#6](-[#6](-[#6](-[#9])(-[#9])-[#16](=[#8])(=[#8])-[#8])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#6](-[#6](-[#6](-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9],emerging_perfluoroalkyls,environment.emerging_perfluoroalkyls.emerging_perfluoroalkyls
2-(perfluorooctyl)ethane-1-sulfonic acid,C(CS(=O)(=O)O)C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,[#6](-[#6]-[#16](=[#8])(=[#8])-[#8])-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9],emerging_perfluoroalkyls,environment.emerging_perfluoroalkyls.emerging_perfluoroalkyls
perfluoropentanesulfonic acid,C(C(C(F)(F)F)(F)F)(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F,[#6](-[#6](-[#6](-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#6](-[#6](-[#9])(-[#9])-[#16](=[#8])(=[#8])-[#8])(-[#9])-[#9])(-[#9])-[#9],emerging_perfluoroalkyls,environment.emerging_perfluoroalkyls.emerging_perfluoroalkyls
perfluoroheptanesulfonic acid,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F,[#6](-[#6](-[#6](-[#6](-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#6](-[#6](-[#6](-[#9])(-[#9])-[#16](=[#8])(=[#8])-[#8])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9],emerging_perfluoroalkyls,environment.emerging_perfluoroalkyls.emerging_perfluoroalkyls
perfluorononanesulfonic acid,C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F,[#6](-[#6](-[#6](-[#6](-[#6](-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#6](-[#6](-[#6](-[#6](-[#9])(-[#9])-[#16](=[#8])(=[#8])-[#8])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9],emerging_perfluoroalkyls,environment.emerging_perfluoroalkyls.emerging_perfluoroalkyls
perfluorodecanesulfonic acid,C(C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#9])(-[#9])-[#16](=[#8])(=[#8])-[#8])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#6](-[#6](-[#6](-[#6](-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9],emerging_perfluoroalkyls,environment.emerging_perfluoroalkyls.emerging_perfluoroalkyls
hexafluoropropylene oxide trimer acid,C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)F,[#6](=[#8])(-[#6](-[#6](-[#9])(-[#9])-[#9])(-[#8]-[#6](-[#6](-[#6](-[#9])(-[#9])-[#9])(-[#8]-[#6](-[#6](-[#6](-[#9])(-[#9])-[#9])(-[#9])-[#9])(-[#9])-[#9])-[#9])(-[#9])-[#9])-[#9])-[#9],emerging_perfluoroalkyls,environment.emerging_perfluoroalkyls.emerging_perfluoroalkyls
"3,3′,4,4′,5-pentachlorobiphenyl",C1=CC(=C(C=C1C2=CC(=C(C(=C2)Cl)Cl)Cl)Cl)Cl,[#6]1:[#6]:[#6](:[#6](:[#6]:[#6]:1-[#6]1:[#6]:[#6](:[#6](:[#6](:[#6]:1)-[#17])-[#17])-[#17])-[#17])-[#17],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
"3,4,3′,4′-tetrachlorobiphenyl",C1=CC(=C(C=C1C2=CC(=C(C=C2)Cl)Cl)Cl)Cl,[#6]1:[#6]:[#6](:[#6](:[#6]:[#6]:1-[#6]1:[#6]:[#6](:[#6](:[#6]:[#6]:1)-[#17])-[#17])-[#17])-[#17],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
"2,2′,4,4′,5,5′-hexachlorobiphenyl",C1=C(C(=CC(=C1Cl)Cl)Cl)C2=CC(=C(C=C2Cl)Cl)Cl,[#6]1:[#6](:[#6](:[#6]:[#6](:[#6]:1-[#17])-[#17])-[#17])-[#6]1:[#6]:[#6](:[#6](:[#6]:[#6]:1-[#17])-[#17])-[#17],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
bisphenol A,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,[#6]-[#6](-[#6])(-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#8])-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#8],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
"2,3,3′,4,4′,5′-hexachlorobiphenyl",C1=CC(=C(C=C1C2=CC(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl,[#6]1:[#6]:[#6](:[#6](:[#6]:[#6]:1-[#6]1:[#6]:[#6](:[#6](:[#6](:[#6]:1-[#17])-[#17])-[#17])-[#17])-[#17])-[#17],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
"2,2′,4,4′,6,6′-hexachlorobiphenyl",C1=C(C=C(C(=C1Cl)C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl,[#6]1:[#6](:[#6]:[#6](:[#6](:[#6]:1-[#17])-[#6]1:[#6]:[#6](:[#6](:[#6]:[#6]:1-[#17])-[#17])-[#17])-[#17])-[#17],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
"2,2′,4,4′,5,6′-hexachlorobiphenyl",C1=CC=C(C(=C1)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl,[#6]1:[#6]:[#6]:[#6](:[#6](:[#6]:1)-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[#17])-[#17])-[#17])-[#17])-[#17])-[#17],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
lindane,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,[#6]1(-[#6](-[#6](-[#6](-[#6](-[#6]-1-[#17])-[#17])-[#17])-[#17])-[#17])-[#17],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
naphthalene,C1=CC=C2C=CC=CC2=C1,[#6]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#6]:1,montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
benz[e]acephenanthrylene,C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1,[#6]1:[#6]:[#6]:[#6]2:[#6]3:[#6]4:[#6](:[#6]:[#6]:[#6]:3)-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3-[#6]:4:[#6]:[#6]:2:[#6]:1,montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
dieldrin,C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl,[#6]1-[#6]2-[#6]3-[#6](-[#6]-1-[#6]1-[#6]-2-[#8]-1)-[#6]1(-[#6](=[#6](-[#6]-3(-[#6]-1(-[#17])-[#17])-[#17])-[#17])-[#17])-[#17],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
linuron,CN(C(=O)NC1=CC(=C(C=C1)Cl)Cl)OC,[#6]-[#7](-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6](:[#6](:[#6]:[#6]:1)-[#17])-[#17])-[#8]-[#6],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
trifluralin,CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],[#6]-[#6]-[#6]-[#7](-[#6]-[#6]-[#6])-[#6]1:[#6](:[#6]:[#6](:[#6]:[#6]:1-[#7+](=[#8])-[#8-])-[#6](-[#9])(-[#9])-[#9])-[#7+](=[#8])-[#8-],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
toluene,CC1=CC=CC=C1,[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
benzene,C1=CC=CC=C1,[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
bisphenol S,C1=CC(=CC=C1O)S(=O)(=O)C2=CC=C(C=C2)O,[#6]1:[#6]:[#6](:[#6]:[#6]:[#6]:1-[#8])-[#16](=[#8])(=[#8])-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#8],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
bisphenol F,c1cc(ccc1Cc2ccc(cc2)O)O,[#6]1:[#6]:[#6](:[#6]:[#6]:[#6]:1-[#6]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#8])-[#8],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
benzo[a]pyrene,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,[#6]1:[#6]:[#6]:[#6]2:[#6]3:[#6]4:[#6](:[#6]:[#6]:2:[#6]:1):[#6]:[#6]:[#6]1:[#6]:4:[#6](:[#6]:[#6]:[#6]:1):[#6]:[#6]:3,montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
"2,4-dichlorophenoxyacetic acid",C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,[#6]1:[#6]:[#6](:[#6](:[#6]:[#6]:1-[#17])-[#17])-[#8]-[#6]-[#6](=[#8])-[#8],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
clofenotane (DDT),C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,[#6]1:[#6]:[#6](:[#6]:[#6]:[#6]:1-[#6](-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#17])-[#6](-[#17])(-[#17])-[#17])-[#17],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
pyrene,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,[#6]1:[#6]:[#6]2:[#6]3:[#6](:[#6]:1):[#6]:[#6]:[#6]1:[#6]:[#6]:[#6]:[#6](:[#6]:3:1):[#6]:[#6]:2,montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
deoxynivalenol (vomitoxin),CC1=CC2C(C(C1=O)O)(C3(CC(C(C34CO4)O2)O)C)CO,[#6]-[#6]1=[#6]-[#6]2-[#6](-[#6](-[#6]-1=[#8])-[#8])(-[#6]1(-[#6]-[#6](-[#6](-[#6]-13-[#6]-[#8]-3)-[#8]-2)-[#8])-[#6])-[#6]-[#8],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
glyphosate,C(C(=O)O)NCP(=O)(O)O,[#6](-[#6](=[#8])-[#8])-[#7]-[#6]-[#15](=[#8])(-[#8])-[#8],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
fumonisin-B1,CCCCC(C)C(C(CC(C)CC(CCCCC(CC(C(C)N)O)O)O)OC(=O)CC(CC(=O)O)C(=O)O)OC(=O)CC(CC(=O)O)C(=O)O,[#6]-[#6]-[#6]-[#6]-[#6](-[#6])-[#6](-[#6](-[#6]-[#6](-[#6])-[#6]-[#6](-[#6]-[#6]-[#6]-[#6]-[#6](-[#6]-[#6](-[#6](-[#6])-[#7])-[#8])-[#8])-[#8])-[#8]-[#6](=[#8])-[#6]-[#6](-[#6]-[#6](=[#8])-[#8])-[#6](=[#8])-[#8])-[#8]-[#6](=[#8])-[#6]-[#6](-[#6]-[#6](=[#8])-[#8])-[#6](=[#8])-[#8],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
aflatoxin-B1,COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4C5C=COC5OC4=C1,[#6]-[#8]-[#6]1:[#6]2:[#6]3:[#6](-[#6](=[#8])-[#6]-[#6]-3):[#6](=[#8]):[#8]:[#6]:2:[#6]2-[#6]3-[#6]=[#6]-[#8]-[#6]-3-[#8]-[#6]:2:[#6]:1,montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
"2,4,6-trichlorophenol",C1=C(C=C(C(=C1Cl)O)Cl)Cl,[#6]1:[#6](:[#6]:[#6](:[#6](:[#6]:1-[#17])-[#8])-[#17])-[#17],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
diazinon,CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,[#6]-[#6]-[#8]-[#15](=[#16])(-[#8]-[#6]-[#6])-[#8]-[#6]1:[#7]:[#6](:[#7]:[#6](:[#6]:1)-[#6])-[#6](-[#6])-[#6],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
paraquat,C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C,[#6]-[#7+]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6]1:[#6]:[#6]:[#7+](:[#6]:[#6]:1)-[#6],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
phenol,C1=CC=C(C=C1)O,[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#8],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
aminomethylphosphonic acid,C(N)P(=O)(O)O,[#6](-[#7])-[#15](=[#8])(-[#8])-[#8],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
chlorpyriphos,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,[#6]-[#6]-[#8]-[#15](=[#16])(-[#8]-[#6]-[#6])-[#8]-[#6]1:[#7]:[#6](:[#6](:[#6]:[#6]:1-[#17])-[#17])-[#17],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
xearalenone,CC1CCCC(=O)CCCC=CC2=C(C(=CC(=C2)O)O)C(=O)O1,[#6]-[#6]1-[#6]-[#6]-[#6]-[#6](=[#8])-[#6]-[#6]-[#6]-[#6]=[#6]-[#6]2:[#6](:[#6](:[#6]:[#6](:[#6]:2)-[#8])-[#8])-[#6](=[#8])-[#8]-1,montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
aldicarb,CC(C)(C=NOC(=O)NC)SC,[#6]-[#6](-[#6])(-[#6]=[#7]-[#8]-[#6](=[#8])-[#7]-[#6])-[#16]-[#6],montmorillonite_adsorption,materials.clay.montmorillonite_adsorption.montmorillonite_adsorption
"3′-bromo-2-chloro[1,1′:4′,1′′-terphenyl]-4,4′′",ClC1=CC=CC=C1C2=CC=C(C3=CC=CC=C3)C(Br)=C2,[#17]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6]1:[#6]:[#6]:[#6](-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2):[#6](-[#35]):[#6]:1,common_monomer_repeating_units,materials.polymers.common_monomer_repeating_units.common_monomer_repeating_units
"[3,3′-biquinoline]-6,6′",C1(C2=CC3=CC=CC=C3N=C2)=CC4=CC=CC=C4N=C1,[#6]1(-[#6]2:[#6]:[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3:[#7]:[#6]:2):[#6]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#7]:[#6]:1,common_monomer_repeating_units,materials.polymers.common_monomer_repeating_units.common_monomer_repeating_units
"[2,3′-bipyridine]-4,5′",C1(C2=CC=CN=C2)=NC=CC=C1,[#6]1(-[#6]2:[#6]:[#6]:[#6]:[#7]:[#6]:2):[#7]:[#6]:[#6]:[#6]:[#6]:1,common_monomer_repeating_units,materials.polymers.common_monomer_repeating_units.common_monomer_repeating_units
